temperature,pressure
4.67,965
-10.11,901
5.56,965
-14.15,949
-1.82,975
-19.6,1079
39.52,1013
14.5,1079
-5.22,946
-15.41,995
0.65,931
12.05,903
23.06,978
29.1,1061
36.79,913
25.36,1020
6.46,1067
17.36,1016
-2.73,1061
-7.58,1095
15.82,951
8.96,1042
-19.79,1007
26.03,1010
-15.05,1065
-6.14,1046
-16.6,919
25.84,914
-19.61,1096
-14.13,1096
-4.64,966
5.42,1043
8.42,1052
19.18,953
-18.53,1063
20.09,1053
27.02,998
-8.64,1056
-2.26,1046
16.06,950
9.04,909
30.52,970
29.04,972
0.86,1027
18.78,1002
-15.2,909
-4.49,909
-17.42,923
9.97,1099
-10.08,981
19.11,949
21.59,1034
-3.78,989
20.11,994
22.31,1092
1.45,1097
2.97,1076
-7.94,914
7.23,1099
-9.56,1086
17.3,1049
-4.41,1030
11,1061
23.36,985
32.86,936
31.75,1023
-18.54,973
13.74,1053
27.36,943
17.4,1004
0.75,1022
31.58,996
-19.57,994
20.42,924
7.52,1044
16.42,988
-3.36,997
-4.31,1073
5.28,984
19.4,1057
31.04,1065
19.83,1099
-7.72,901
-9.96,1063
0.24,910
23.46,1067
34.09,926
21.81,1021
38.99,1072
39.48,918
23.79,1079
0.95,1042
19.56,1091
35.67,1098
7.6,956
32.81,959
25.78,1072
29.26,1011
29.63,963
20.78,1056
